iter	Passed	Remaining
0	23	23656
1	48	24246
2	68	22814
3	83	20828
4	106	2127355	121	2008666	139	1982977	164	2042188	188	2070299	211	2094610	222	20028
11	245	20215
12	272	20667
13	292	20623
14	313	20576
15	332	20444
16	352	20366
17	373	20369
18	392	20244
19	412	20216
20	434	20250
21	453	20158
22	470	20004
223	544	2214624	516	20139
2525	593	22232626	615	22172727	643	22322828	670	22442929	693	22423030	721	22553131	767	23223232	790	23153333	816	232034	780	21516
335	861	2305636	837	21786
337	916	23198338	943	232423939	983	23604040	1026	23941	41	1060	24142	42	1084	24143	43	1108	24044	44	1138	24145	45	1165	24146	46	1190	24147	47	1218	24148	48	1256	24349	49	1294	24550	50	1321	24551	51	1351	24652	52	1406	25131
53	1439	25254	54	1469	25255	55	1507	25456	56	1541	25498
57	1570	25558	58	1629	25990
59	1691	26495
60	1729	26625
61	1749	26472
62	1766	26266
63	1782	26064	64	1795	25865	65	1815	25666	1799	25064
67	1820	24953
68	1843	24870
69	1865	24789
70	1899	24849
71	1923	24796
72	1942	24664
73	1959	24521
74	1983	24465
75	2018	24544
76	2042	24479
77	2069	24467
78	2094	24412
79	2114	24314
80	2135	24228
81	2154	24114
82	2185	24150
83	2214	24150
84	2237	24081
85	2254	23964
86	2281	23938
87	2301	23850
88	2321	23765
89	2342	23686
90	2364	23618
91	2386	23555
92	2409	23499
93	2429	23419
94	2450	23346
95	2465	23217
96	2485	23136
97	2515	23152
98	2533	23057
99	2552	22969
100	2575	22922
101	2599	22886
102	2621	22829
103	2643	22771
104	2664	22714
105	2692	22706
106	2729	22782
107	2773	22906
108	2796	22856
109	2815	22776
110	2831	22677
111	2847	22576
112	2861	22457
113	2877	22360
114	2894	22276
115	2911	22190
116	2930	22117
117	2950	22051
118	2971	22000
119	2989	21920
120	3008	21856
121	3025	21775
122	3044	21707
123	3063	21645
124	3129	21906
125	3146	21824
126	3115	21419
127	3181	21675
128	3149	21262
129	3218	21539
130	3238	21483
131	3212	21125
132	3230	21058
133	3251	21011
134	3272	20970
135	3294	20929
136	3316	20892
137	3334	20830
138	3349	20750
139	3369	20701
140	3438	20945
141	3456	20887
142	3428	20549
143	3445	20482
144	3465	20431
145	3484	20383
146	3502	20321
147	3521	20271
148	3538	20209
149	3560	20178
150	3579	20124
151	3598	20076
152	3619	20037
153	3635	19969
154	3655	19925
155	3671	19861
156	3692	19824
157	3710	19772
158	3725	19705
159	3747	19674
160	3767	19631
161	3782	19565
162	3798	19507
163	3815	19447
164	3833	19401
165	3901	19602
166	3871	19310
167	3890	19268
168	3953	19441
169	3924	19158
170	3942	19113
171	3963	19080
172	3983	19041
173	4000	18993
174	4019	18951
175	4040	18914
176	4060	18879
177	4081	18846
178	4097	18792
179	4114	18745
180	4129	18686
181	4148	18645
182	4167	18603
183	4187	18569
184	4206	18532
185	4221	18474
186	4240	18436
187	4258	18393
188	4274	18342
189	4338	18493
190	4308	18249
191	4331	18229
192	4351	18195
193	4376	18183
194	4440	18329
195	4460	18295
196	4475	18244
197	4498	18222
198	4519	18192
199	4540	18160
200	4559	18123
201	4577	18085
202	4595	18044
203	4609	17986
204	4629	17954
205	4645	17906
206	4665	17874
207	4684	17836
208	4703	17803
209	4721	17761
210	4760	17802
211	4785	17788
212	4809	17770
213	4828	17734
214	4847	17699
215	4861	17646
216	4880	17609
217	4899	17575
218	4922	17555
219	4940	17515
220	4955	17467
221	4975	17438
222	4992	17395
223	5011	17359
224	5028	17321
225	5044	17277
226	5063	17241
227	5080	17203
228	5100	17171
229	5119	17139
230	5136	17098
231	5157	17074
232	5175	17036
233	5192	16996
234	5211	16964
235	5229	16928
236	5247	16892
237	5264	16855
238	5281	16816
239	5296	16772
240	5312	16731
241	5328	16690
242	5342	16643
243	5357	16599
244	5374	16560
245	5391	16524
246	5423	16534
247	5441	16499
248	5461	16472
249	5478	16436
250	5496	16402
251	5513	16365
252	5532	16335
253	5550	16300
254	5565	16261
255	5581	16221
256	5600	16192
257	5617	16156
258	5634	16120
